Date,Customs duties (nominal USD),Customs duties (2025 USD),2022-2024 average customs duties (2025 USD)
Jan-20,6918.00,8722.27,7596.14
Feb-20,6286.00,7903.78,7596.14
Mar-20,4815.00,6067.41,7596.14
Apr-20,4114.00,5218.97,7596.14
May-20,3833.00,4862.40,7596.14
Jun-20,4480.00,5652.23,7596.14
Jul-20,5013.00,6292.87,7596.14
Aug-20,5896.00,7378.04,7596.14
Sep-20,6049.00,7558.97,7596.14
Oct-20,6156.00,7689.49,7596.14
Nov-20,5965.00,7455.46,7596.14
Dec-20,6047.00,7550.85,7596.14
Jan-21,5871.00,7300.02,7596.14
Feb-21,6323.00,7819.24,7596.14
Mar-21,6275.00,7705.30,7596.14
Apr-21,7128.00,8681.38,7596.14
May-21,6433.00,7772.60,7596.14
Jun-21,7150.00,8559.39,7596.14
Jul-21,7509.00,8946.12,7596.14
Aug-21,7270.00,8643.52,7596.14
Sep-21,7857.00,9316.12,7596.14
Oct-21,7770.00,9137.05,7596.14
Nov-21,7816.00,9146.21,7596.14
Dec-21,8187.00,9551.00,7596.14
Jan-22,8587.00,9934.05,7596.14
Feb-22,8049.00,9227.37,7596.14
Mar-22,8151.00,9221.19,7596.14
Apr-22,9162.00,10307.39,7596.14
May-22,8095.00,9007.70,7596.14
Jun-22,8364.00,9180.92,7596.14
Jul-22,8530.00,9364.24,7596.14
Aug-22,8456.00,9286.29,7596.14
Sep-22,8741.00,9578.68,7596.14
Oct-22,8163.00,8909.14,7596.14
Nov-22,7171.00,7834.38,7596.14
Dec-22,6552.00,7180.16,7596.14
Jan-23,6838.00,7434.15,7596.14
Feb-23,6349.00,6864.20,7596.14
Mar-23,6152.00,6629.26,7596.14
Apr-23,6350.00,6808.18,7596.14
May-23,6373.00,6815.68,7596.14
Jun-23,6475.00,6902.47,7596.14
Jul-23,6910.00,7352.17,7596.14
Aug-23,6325.00,6700.47,7596.14
Sep-23,6678.00,7056.89,7596.14
Oct-23,6903.00,7297.45,7596.14
Nov-23,6296.00,6669.21,7596.14
Dec-23,5744.00,6090.54,7596.14
Jan-24,6477.00,6830.55,7596.14
Feb-24,6208.00,6506.59,7596.14
Mar-24,6064.00,6314.84,7596.14
Apr-24,6367.00,6604.66,7596.14
May-24,5225.00,5411.05,7596.14
Jun-24,6323.00,6545.93,7596.14
Jul-24,7133.00,7375.92,7596.14
Aug-24,7047.00,7281.07,7596.14
Sep-24,7249.00,7477.78,7596.14
Oct-24,7297.00,7518.64,7596.14
Nov-24,6712.00,6919.62,7596.14
Dec-24,6814.00,7022.28,7596.14
Jan-25,7341.00,7516.19,7596.14
Feb-25,7247.00,7387.13,7596.14
Mar-25,8168.00,8307.28,7596.14
Apr-25,15634.00,15851.21,7596.14
May-25,22173.00,22434.21,7596.14
Jun-25,26632.00,26854.18,7596.14
Jul-25,27670.00,27858.78,7596.14
Aug-25,29503.00,29619.20,7596.14
Sep-25,29675.00,29716.30,7596.14
Oct-25,31354.00,31430.44,7596.14
Nov-25,30756.00,30863.23,7596.14
Dec-25,27892.00,27995.11,7596.14
Jan-26,27742.00,27742.00,7596.14
